Company,Ticker,Sector,Sub-Industry
3M,MMM,Industrials,Industrial Conglomerates
A. O. Smith,AOS,Industrials,Building Products
Abbott,ABT,Health Care,Health Care Equipment
AbbVie,ABBV,Health Care,Pharmaceuticals
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
ADM,ADM,Consumer Staples,Agricultural Products & Services
ADP,ADP,Industrials,Human Resource & Employment Services
Advance Auto Parts,AAP,Consumer Discretionary,Automotive Retail
AES Corporation,AES,Utilities,Independent Power Producers & Energy Traders
Aflac,AFL,Financials,Life & Health Insurance
Agilent Technologies,A,Health Care,Health Care Equipment
Air Products and Chemicals,APD,Materials,Industrial Gases
Albemarle Corporation,ALB,Materials,Specialty Chemicals
Alexandria Real Estate Equities,ARE,Real Estate,Office REITs
Align Technology,ALGN,Health Care,Health Care Supplies
Alliant Energy,LNT,Utilities,Electric Utilities
Allstate,ALL,Financials,Property & Casualty Insurance
Alphabet Inc. (Class A),GOOGL,Communication Services,Interactive Media & Services
Alphabet Inc. (Class C),GOOG,Communication Services,Interactive Media & Services
Amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
Ameren,AEE,Utilities,Multi-Utilities
American Electric Power,AEP,Utilities,Electric Utilities
American Express,AXP,Financials,Consumer Finance
American International Group,AIG,Financials,Property & Casualty Insurance
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water Works,AWK,Utilities,Water Utilities
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
Amgen,AMGN,Health Care,Biotechnology
Amphenol,APH,Information Technology,Electronic Components
Analog Devices,ADI,Information Technology,Semiconductors
Ansys,ANSS,Information Technology,Application Software
Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
Arch Capital Group,ACGL,Financials,Reinsurance
Arthur J. Gallagher & Co.,AJG,Financials,Insurance Brokers
Assurant,AIZ,Financials,Multi-line Insurance
AT&T,T,Communication Services,Integrated Telecommunication Services
Atmos Energy,ATO,Utilities,Gas Utilities
