Company,Ticker,Sector,Sub-Industry
10x Genomics,TXG,Health Care,
Acadia Healthcare,ACHC,Health Care,Health Care Facilities
Activision Blizzard,ATVI,Communication Services,Interactive Home Entertainment
Acuity Brands,AYI,Industrials,Electrical Components & Equipment
ADP,ADP,Industrials,Human Resource & Employment Services
ADT,ADT,Consumer Discretionary,
AECOM,ACM,Industrials,Construction & Engineering
AES,AES,Utilities,Independent Power Producers & Energy Traders
Affirm,AFRM,Information Technology,
Aflac,AFL,Financials,Life & Health Insurance
Agilent Technologies,A,Health Care,Health Care Equipment
AGNC Investment,AGNC,Financials,
AIG,AIG,Financials,Property & Casualty Insurance
Air Lease Corporation,AL,Industrials,
Air Products and Chemicals,APD,Materials,Industrial Gases
Airbnb,ABNB,Consumer Discretionary,Internet & Direct Marketing Retail
Alaska Air Group,ALK,Industrials,Passenger Airlines
Albemarle,ALB,Materials,Specialty Chemicals
Albertsons,ACI,Consumer Staples,
Alcoa,AA,Materials,Aluminum
Alexandria,ARE,Real Estate,Office REITs
Align,ALGN,Health Care,Health Care Supplies
Allegion,ALLE,Industrials,Building Products
Allegro MicroSystems,ALGM,Information Technology,
Allison Transmission,ALSN,Industrials,
Ally,ALLY,Financials,
Alnylam,ALNY,Health Care,
Alteryx,AYX,Information Technology,
Altice USA,ATUS,Communication Services,
Altria,MO,Consumer Staples,Tobacco
AMC Theatres (Class A),AMC,Communication Services,
Amcor,AMCR,Materials,Paper & Plastic Packaging Products & Materials
Amdocs,DOX,Information Technology,
Amedisys,AMED,Health Care,Health Care Services
American Airlines Group,AAL,Industrials,Passenger Airlines
American Express,AXP,Financials,Consumer Finance
American Financial Group,AFG,Financials,Multi-line Insurance
American Homes 4 Rent,AMH,Real Estate,
American Tower,AMT,Real Estate,Telecom Tower REITs
American Water,AWK,Utilities,Water Utilities
Americold,COLD,Real Estate,
Ameriprise Financial,AMP,Financials,Asset Management & Custody Banks
AmerisourceBergen,ABC,Health Care,Health Care Distributors
Ametek,AME,Industrials,Electrical Components & Equipment
AMG,AMG,Financials,Asset Management & Custody Banks
Amphenol,APH,Information Technology,Electronic Components
Ansys,ANSS,Information Technology,Application Software
Antero Midstream,AM,Energy,
AON,AON,Financials,Insurance Brokers
APA Corporation,APA,Energy,Oil & Gas Exploration & Production
Apartment Income REIT,AIRC,Real Estate,
AptarGroup,ATR,Materials,"Metal, Glass & Plastic Containers"
Aptiv,APTV,Consumer Discretionary,Automotive Parts & Equipment
Ardagh Metal Packaging,AMBP,Materials,
Arista,ANET,Information Technology,Communications Equipment
Armstrong World Industries,AWI,Industrials,
Aspen Technology,AZPN,Information Technology,Application Software
Assurant,AIZ,Financials,Multi-line Insurance
Assured Guaranty,AGO,Financials,
Atlassian,TEAM,Information Technology,Application Software
Atmos Energy,ATO,Utilities,Gas Utilities
Autodesk,ADSK,Information Technology,Application Software
AvalonBay Communities,AVB,Real Estate,Residential REITs
Avangrid,AGR,Utilities,
Avantor,AVTR,Health Care,
Avery Dennison,AVY,Materials,Paper & Plastic Packaging Products & Materials
Avis Budget Group,CAR,Industrials,Passenger Ground Transportation
Axalta,AXTA,Materials,
AXIS Capital,AXS,Financials,
Axon,AXON,Industrials,Aerospace & Defense
Azek,AZEK,Industrials,
Azenta,AZTA,Health Care,Life Sciences Tools & Services
Baker Hughes,BKR,Energy,Oil & Gas Equipment & Services
Bank of America,BAC,Financials,Diversified Banks
Bank of Hawaii,BOH,Financials,Regional Banks
Bath & Body Works,BBWI,Consumer Discretionary,Specialty Stores
Berkley,WRB,Financials,Property & Casualty Insurance
Best Buy,BBY,Consumer Discretionary,Computer & Electronics Retail
Bio-Rad,BIO,Health Care,Life Sciences Tools & Services
Bio-Techne,TECH,Health Care,Life Sciences Tools & Services
Biogen,BIIB,Health Care,Biotechnology
BioMarin,BMRN,Health Care,
Black Knight,BKI,Information Technology,
BlackRock,BLK,Financials,Asset Management & Custody Banks
Blackstone,BX,Financials,Asset Management & Custody Banks
H&R Block,HRB,Consumer Discretionary,Specialized Consumer Services
"Block, Inc.",SQ,Financials,Transaction & Payment Processing Services
Blue Owl Capital,OWL,Financials,
BNY Mellon,BK,Financials,Asset Management & Custody Banks
Boeing,BA,Industrials,Aerospace & Defense
BOK Financial,BOKF,Financials,
BorgWarner,BWA,Consumer Discretionary,Automotive Parts & Equipment
Boston Beer Company,SAM,Consumer Staples,Brewers
Boston Properties,BXP,Real Estate,Office REITs
Bright Horizons Family Solutions,BFAM,Consumer Discretionary,
Brighthouse Financial,BHF,Financials,Life & Health Insurance
Brixmor Property Group,BRX,Real Estate,Retail REITs
Broadridge,BR,Industrials,Data Processing & Outsourced Services
Brookfield Renewable,BEPC,Utilities,
Brown & Brown,BRO,Financials,Insurance Brokers
Brown–Forman (Class A),BF.A,Consumer Staples,Distillers & Vintners
Bruker,BRKR,Health Care,Health Care Equipment
Brunswick,BC,Consumer Discretionary,Leisure Products
Builders FirstSource,BLDR,Industrials,Building Products
Bunge,BG,Consumer Staples,Agricultural Products & Services
Burlington,BURL,Consumer Discretionary,
BWX Technologies,BWXT,Industrials,
Cable One,CABO,Communication Services,Cable & Satellite
CACI,CACI,Industrials,Diversified Support Services
Caesars Entertainment,CZR,Consumer Discretionary,Casinos & Gaming
Camden Property Trust,CPT,Real Estate,Residential REITs
Capital One,COF,Financials,Consumer Finance
Capri Holdings,CPRI,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Cardinal Health,CAH,Health Care,Health Care Distributors
Carlisle Companies,CSL,Industrials,Industrial Conglomerates
Carlyle Group (The),CG,Financials,
CarMax,KMX,Consumer Discretionary,Specialty Stores
Carrier,CARR,Industrials,Building Products
Carvana,CVNA,Consumer Discretionary,
Casey's,CASY,Consumer Staples,Food Retail
Catalent,CTLT,Health Care,Pharmaceuticals
Cboe,CBOE,Financials,Financial Exchanges & Data
CBRE Group,CBRE,Real Estate,Real Estate Services
CDW,CDW,Information Technology,Technology Distributors
Celanese,CE,Materials,Specialty Chemicals
Centerpoint Energy,CNP,Utilities,Multi-Utilities
Ceridian,CDAY,Information Technology,Application Software
Certara,CERT,Health Care,
ChargePoint,CHPT,Industrials,
Charles River,CRL,Health Care,Life Sciences Tools & Services
Charles Schwab,SCHW,Financials,Investment Banking & Brokerage
Cheniere,LNG,Energy,
Chipotle Mexican Grill,CMG,Consumer Discretionary,Restaurants
Ciena,CIEN,Information Technology,Communications Equipment
Cigna,CI,Health Care,Managed Health Care
Cincinnati Financial,CINF,Financials,Property & Casualty Insurance
Cintas,CTAS,Industrials,Diversified Support Services
Cirrus Logic,CRUS,Information Technology,Semiconductors
Cisco,CSCO,Information Technology,Communications Equipment
Citizens,CFG,Financials,Regional Banks
Clarivate,CLVT,Industrials,
Cleveland-Cliffs,CLF,Materials,Steel
CNA Financial,CNA,Financials,
Cognizant,CTSH,Information Technology,IT Consulting & Other Services
Coherent Corp.,COHR,Information Technology,Electronic Components
Coinbase,COIN,Financials,
Columbia Banking System,COLB,Financials,Regional Banks
Columbia Sportswear,COLM,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
Comerica,CMA,Financials,Diversified Banks
Commerce Bancshares,CBSH,Financials,Regional Banks
Conagra Brands,CAG,Consumer Staples,Packaged Foods & Meats
Concentrix,CNXC,Information Technology,Data Processing & Outsourced Services
ConocoPhillips,COP,Energy,Oil & Gas Exploration & Production
Corning,GLW,Information Technology,Electronic Components
Costco,COST,Consumer Staples,Consumer Staples Merchandise Retail
Cousins Properties,CUZ,Real Estate,Office REITs
Credit Acceptance,CACC,Financials,
Crown Castle,CCI,Real Estate,Telecom Tower REITs
Crown Holdings,CCK,Materials,
CSX,CSX,Industrials,Rail Transportation
CubeSmart,CUBE,Real Estate,
Cummins,CMI,Industrials,Industrial Machinery & Supplies & Components
Curtiss-Wright,CW,Industrials,Aerospace & Defense
CVS Health,CVS,Health Care,Health Care Services
Danaher,DHR,Health Care,Health Care Equipment
Darling Ingredients,DAR,Consumer Staples,
Deckers Brands,DECK,Consumer Discretionary,Footwear
Definitive Healthcare,DH,Health Care,
Dexcom,DXCM,Health Care,Health Care Equipment
Diamondback Energy,FANG,Energy,Oil & Gas Exploration & Production
Digital Realty,DLR,Real Estate,Data Center REITs
Dish,DISH,Communication Services,Cable & Satellite
DocuSign,DOCU,Information Technology,Application Software
Donaldson,DCI,Industrials,Industrial Machinery & Supplies & Components
DoorDash,DASH,Consumer Discretionary,
Douglas Emmett,DEI,Real Estate,
Dover,DOV,Industrials,Industrial Machinery & Supplies & Components
Dow,DOW,Materials,Commodity Chemicals
DTE,DTE,Utilities,Multi-Utilities
DuPont,DD,Materials,Specialty Chemicals
DXC Technology,DXC,Information Technology,IT Consulting & Other Services
East West Bancorp,EWBC,Financials,Regional Banks
EastGroup Properties,EGP,Real Estate,
Eastman,EMN,Materials,Diversified Chemicals
Eaton,ETN,Industrials,Electrical Components & Equipment
eBay,EBAY,Consumer Discretionary,Internet & Direct Marketing Retail
Ecolab,ECL,Materials,Specialty Chemicals
Elanco,ELAN,Health Care,
Electronic Arts,EA,Communication Services,Interactive Home Entertainment
Element Solutions,ESI,Materials,
Emerson,EMR,Industrials,Electrical Components & Equipment
Encompass Health,EHC,Health Care,Health Care Facilities
Enhabit,EHAB,Health Care,
Enphase,ENPH,Information Technology,Electronic Components
Envista,NVST,Health Care,Health Care Supplies
Enviva,EVA,Energy,
EPR Properties,EPR,Real Estate,Other Specialized REITs
Equinix,EQIX,Real Estate,Data Center REITs
Equitable Holdings,EQH,Financials,
Equity Lifestyle Properties,ELS,Real Estate,
Equity Residential,EQR,Real Estate,Residential REITs
Erie Indemnity,ERIE,Financials,
Essential Utilities,WTRG,Utilities,Water Utilities
Essex,ESS,Real Estate,Residential REITs
Estée Lauder Companies,EL,Consumer Staples,Personal Care Products
Euronet Worldwide,EEFT,Financials,Transaction & Payment Processing Services
Evercore,EVR,Financials,Investment Banking & Brokerage
Everest,RE,Financials,Reinsurance
Evergy,EVRG,Utilities,Electric Utilities
Exelixis,EXEL,Health Care,Biotechnology
Exelon,EXC,Utilities,Multi-Utilities
Expedia Group,EXPE,Consumer Discretionary,Internet & Direct Marketing Retail
Expeditors,EXPD,Industrials,Air Freight & Logistics
Extra Space Storage,EXR,Real Estate,Self-Storage REITs
F5,FFIV,Information Technology,Communications Equipment
Fastenal,FAST,Industrials,Building Products
Federal Realty Investment Trust,FRT,Real Estate,Retail REITs
FedEx,FDX,Industrials,Air Freight & Logistics
Fidelity National Financial,FNF,Financials,
Fifth Third Bancorp,FITB,Financials,Regional Banks
First American,FAF,Financials,Property & Casualty Insurance
First Hawaiian Bank,FHB,Financials,Regional Banks
First Horizon,FHN,Financials,Regional Banks
First Industrial Realty Trust,FR,Real Estate,
First Solar,FSLR,Information Technology,Semiconductors
FirstEnergy,FE,Utilities,Electric Utilities
FIS,FIS,Financials,Transaction & Payment Processing Services
Five9,FIVN,Information Technology,
Fleetcor,FLT,Financials,Transaction & Payment Processing Services
Flowserve,FLS,Industrials,Industrial Machinery & Supplies & Components
FNB Corporation,FNB,Financials,Regional Banks
Ford,F,Consumer Discretionary,Automobile Manufacturers
Fortinet,FTNT,Information Technology,Systems Software
Fortive,FTV,Industrials,Industrial Machinery & Supplies & Components
Fox Corporation (Class A),FOXA,Communication Services,Movies & Entertainment
Fox Corporation (Class B),FOX,Communication Services,Movies & Entertainment
Franklin Templeton,BEN,Financials,Asset Management & Custody Banks
Freshpet,FRPT,Consumer Staples,
Frontier Communications,FYBR,Communication Services,
Frost,CFR,Financials,Regional Banks
FTI Consulting,FCN,Industrials,Research & Consulting Services
GameStop,GME,Consumer Discretionary,Computer & Electronics Retail
Gaming and Leisure Properties,GLPI,Real Estate,
Gap,GPS,Consumer Discretionary,Apparel Retail
Garmin,GRMN,Consumer Discretionary,Consumer Electronics
Gates,GTES,Industrials,
GE,GE,Industrials,Industrial Conglomerates
GE HealthCare,GEHC,Health Care,
Gen Digital,GEN,Information Technology,Application Software
Generac,GNRC,Industrials,Electrical Components & Equipment
General Mills,GIS,Consumer Staples,Packaged Foods & Meats
General Motors,GM,Consumer Discretionary,Automobile Manufacturers
Genpact,G,Information Technology,IT Consulting & Other Services
Ginkgo Bioworks,DNA,Materials,
Global Payments,GPN,Financials,Transaction & Payment Processing Services
